Reference, Value, Footprint, Datasheet, Farnell, Q10+ (GBP), Comment
"C9","1.5F","komponente:CAP&BAT","","2472074+2115303","2.78+0.683",""
"U7","OPT3001","komponente:USON-6","","2466963","2.46",""
"L1","BLM21","komponente:0805","","1515661","0.0536",""
"U1","USB","komponente:USBMICRO","","2293755","0.522",""
"C12","220nF","komponente:0805","","2074517","0.0281",""
"R6","15","komponente:0805","","2447576","0.005",""
"C6","10uF","komponente:0805","","2320833","0.15",""
"SW4","C","komponente:SPST","","1555987","0.0766",""
"SW5","D","komponente:SPST","","1555987","0.0766",""
"SW2","A","komponente:SPST","","1555987","0.0766",""
"U5","BLE-HM11","komponente:HM-11","","ebay","7.3",""
"R10","820R","komponente:0805","","2074517","0.0281",""
"D1","redled","komponente:PLCC2","","1328348","0.238",""
"D2","greenled","komponente:PLCC2","","1659076","0.257",""
"SW3","B","komponente:SPST","","1555987","0.0766",""
"U6","HDC1080","komponente:PWSON-N6","","2535017","4.13",""
"R17","10k","komponente:0805","","9332391","0.0018",""
"Y1","12 MHz","komponente:HC49-US","","2467681","0.305",""
"C10","18pF","komponente:0805","","2497020","0.0293",""
"C11","18pF","komponente:0805","","2497020","0.0293",""
"R9","820R","komponente:0805","","2074517","0.0281",""
"R1","47k","komponente:0805","","1469929","0.0164",""
"R2","47k","komponente:0805","","1469929","0.0164",""
"R3","47k","komponente:0805","","1469929","0.0164",""
"R5","47k","komponente:0805","","1469929","0.0164",""
"SW1","RESET","komponente:RESET","","2456210","0.172",""
"R4","220k","komponente:0805","","9234292","0.013",""
"R14","47k","komponente:0805","","1469929","0.0164",""
"R12","10k","komponente:0805","","9332391","0.0018",""
"R13","10k","komponente:0805","","9332391","0.0018",""
"U9","TPL5110","komponente:SOT-23-6","","2471145","0.832",""
"VR2","VR","komponente:0805","","8832463","0.502",""
"VR1","VR","komponente:0805","","8832463","0.502",""
"U3","PIC16(L)F1459","komponente:SSOP-20","","2305825","1.20",""
"R18","R","komponente:0805",""
"Q2","FDC6312P","komponente:SSOT-6","","1700713","0.0958",""
"R19","DNP","komponente:0805",""
"R20","R","komponente:0805",""
"C13","1uF","komponente:0805","","2112709","0.41",""
"C15","100nF","komponente:0805","","1759167","0.0115",""
"C16","10uF","komponente:0805","","2320833","0.15",""
"J2","JUMPER","komponente:J1x04",""
"J1","JUMPER","komponente:J1x04",""
"J4","JUMPER","komponente:J1x04",""
"J3","JUMPER","komponente:J1x04",""
"J6","JUMPER","komponente:J1x04",""
"J5","JUMPER","komponente:J1x04",""
"J10","JUMPER","komponente:J1x04",""
"J9","JUMPER","komponente:J1x04",""
"J11","JUMPER","komponente:J1x04",""
"J8","JUMPER","komponente:J1x04",""
"J7","JUMPER","komponente:J1x04",""
"J13","JUMPER","komponente:J1x04",""
"J12","JUMPER","komponente:J1x04",""
"U4","2x10pin_header","komponente:HEADER","","1667516","2.04","2x (price doubled)"
"U8","NRF24L01+","komponente:NRF24L01+-mini","","ebay","0.9",""
"J15","JUMPER","komponente:J1x04",""
"J14","JUMPER","komponente:J1x04",""
"J16","JUMPER","komponente:J1x04",""
"J17","JUMPER","komponente:J1x04",""
"R7","360","komponente:0805","","2323839","0.013",""
"D4","DA3X101K0L","komponente:SOT-23","","2284128","0.0293",""
"R8","220","komponente:0805","","9332804","0.0018",""
"D3","BAT54W","komponente:SOT-323D","","1081197","0.17",""
"R11","220","komponente:0805","","9332804","0.0018",""
"C4","100nF","komponente:0805","","1759167","0.0115",""
"C1","100nF","komponente:0805","","1759167","0.0115",""
"C2","100nF","komponente:0805","","1759167","0.0115",""
"C5","100nF","komponente:0805","","1759167","0.0115",""
"C3","100nF","komponente:0805","","1759167","0.0115",""
"C7","100nF","komponente:0805","","1759167","0.0115",""
"C14","100nF","komponente:0805","","1759167","0.0115",""
